Unnamed: 0,Emotion,Text,Clean_Text,
14929,anger,"@charlottehanlan i agree, angry birds is exactly how it is described ",  agree angry birds exactly described,
21962,anger,"CRAP! Didn't think I'd have to know and understand statistics ever again... Damn you, Marketing Research!!!!!! ",CRAP think Id know understand statistics again Damn you Marketing Research,
15735,anger," Don ??t criticize Mario or else I ??ll start on those fat , drunk friends of yours ; they ??re no saints . ",??criticize Mario ??start fat  drunk friends  ??saints ,
18326,anger, Are you done ? ,,
29278,anger,"He was coming so fast that she knew he had not seen her and she had to brake sharply , frowning with exasperation . ",coming fast knew seen brake sharply  frowning exasperation ,
21031,anger,"According to Sheila , Caan was enraged and charged at her . ",According Sheila  Caan enraged charged ,
14373,anger,"@ravikirank RT @StunningHijab: &quot;If you are patient in one moment of anger, you will escape a hundred days of sorrow.&quot;  ",  RT   quotIf patient moment anger escape days sorrowquot,
10917,anger, Will you take my materials back from him for me ? Please ! ,materials  ,
20814,anger,&quot;Angry words do not make peace but open hearts and open minds do.&quot; - Frank Parker.  #peace #openhearts #openminds #frankparker,quotAngry words peace open hearts open minds doquot  Frank Parker #peace #openhearts #openminds #frankparker,
12740,anger,In tears with !!!! Why the fuck do i let this shit get to me??!!!??!!!,tears  fuck let shit me,
2317,anger,Last week I had planned to play tennis and had booked a tennis court.   However when I arrived at the university gym the clerk told me that the court was being used for lessons.,week planned play tennis booked tennis court arrived university gym clerk told court lessons,
32683,anger,"@trisharolfe tell veloce... Tell her french fucks people up, and computers alike!  #hate",  tell veloce Tell french fucks people up computers alike #hate,
34094,anger,This was when my boyfriend told me that I was double-crossing him with a certain boy.,boyfriend told doublecrossing certain boy,
17699,anger,"When my father addressed me directly and maliciously, thus including me in the \family war\"".""",father addressed directly maliciously including \family war\,
34385,anger,"Darling Bob , do n't be cross if I have n't got it right , but is it one of your beloved American writers ? ",Darling Bob  nt cross nt got right  beloved American writers ,
20680,anger,The other day he slapped Liam across the face and got mad at me when I complained . ,day slapped Liam face got mad complained ,
15644,anger,Someone told me we are not as good as the All English Class.,told good English Class,
2308,anger,Mempan dunk ya ! RT @Miraayu1: Gaa mempan ! RT @Enda_ScounDrel: Ya mira kabuuur mah. Tu om sungkai kaki mira bia jatuah,Mempan dunk ya  RT   Gaa mempan  RT   Ya mira kabuuur mah Tu om sungkai kaki mira bia jatuah,
26349,anger,"I think its jus Gods will that i dont live in new zealand with my fams , cuz God only knows if i was down there ... jeeeesus christ ",think jus Gods dont live new zealand fams  cuz God knows  jeeeesus christ,
13384,anger,"Unable to help herself , Mrs Abigail made a vexed noise . ",Unable help  Mrs Abigail vexed noise ,
31348,anger,One of my first boyfriends got mad at me because a lot of my close friends were guys and he didn't want me to see them anymore because he was jealous.,boyfriends got mad lot close friends guys want anymore jealous,
28193,anger,I ??m itching for moving ! ,??itching moving ,
9902,anger,Stop associating Emotional..with being &quot;weak&quot;. Some ppl emotion of choice is &amp; they will knock u tf out! lol,Stop associating Emotionalwith quotweakquot ppl emotion choice amp knock u tf out lol,
17338,anger,Lady followed her example rather than suffer at the hands of her infuriated master . ,Lady followed example suffer hands infuriated master ,
14855,anger,When present boyfriend's mother approached my parents and self - to leave her son alone - as she did not want me for a future daughter-in-law.,present boyfriends mother approached parents self  leave son  want future daughterinlaw,
12717,anger,It would be so cool if I could go to sleep before 4am every damn night of my life. @jamiwearsvans The 3 A's: #anxiety #apathy,cool sleep 4am damn night life   3 As: #anxiety #apathy,
16718,anger,I was angry when I heard that my only girl was going about with another man. So I decided to drop her but later the story came to be untrue.,angry heard girl going man decided drop later story came untrue,
24656,anger,Mrs Rosenbloom nearly always found out about it and she would be mad that he had taken me from my work with the children . ,Mrs Rosenbloom nearly found mad taken work children ,
14356,anger,"When my father did not get back from Chipata on time, he was thus holding back progress as everything depended on him.  I felt angry over his actions.",father Chipata time holding progress depended him felt angry actions,
1305,anger,"I was on vacation, and therefore I did not attend a meeting of the day care centre.  Nevertheless, the very day I came back they called me early morining to ask me \what are you going to do about the matter ?\"" (which had been discussed in the meeting).  Then I got angry.""",vacation attend meeting day care centre Nevertheless day came called early morining ask \what going matter \ (which discussed meeting) got angry,
31751,anger,When I was insulted by a fellow student.,insulted fellow student,
7010,anger, But you should have told me you were in love with her . ,told love ,
30559,anger,I stepped in poo between my apartment and my job. #streakontheflooratwork #okaythatiskindoffunny #shoeslipperyenoughtomoonwalk #dope,stepped poo apartment job #streakontheflooratwork #okaythatiskindoffunny #shoeslipperyenoughtomoonwalk #dope,
15795,anger,When friends try to put me down or hurt me.  ,friends try hurt me,
19164,anger,` I was so mad when your father tried to twist my arm . , mad father tried twist arm ,
2737,anger,When my girlfriend of two years told me it was all over.,girlfriend years told over,
21103,anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin.",tried tent years ago teased hindered cousin,
12144,anger,"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",East Germany men  regarded untouchable pillars old regime   rightly wrongly  focus overzealous bizarre persecution legal authorities indignant public ,
5794,anger,@sarahrydurr @mr_smerke3 i hit girls sometimes but then i kiss them on the lips afterward cuz i feel bad,    hit girls kiss lips afterward cuz feel bad,
15381,anger,@britanylynnn I told u so many times why! You don't do that ishh to your friend! It's effed up! How many times do I need to say it!? ,  told u times why ishh friend effed up times need it,
18502,anger,"His tone became more confident , slightly indignant . ",tone confident  slightly indignant ,
1674,anger,bitch stealing the coat I wanted in topshop after seeing me wearing it. ,bitch stealing coat wanted topshop seeing wearing it,
26592,anger,Don't believe in coincidence. What I can't grasp is just beyond my understanding now.   ,believe coincidence cant grasp understanding now,
1089,anger,Biting my tongue is the fitting end to a bullshit night.  ,Biting tongue fitting end bullshit night,
25877,anger,"I was waiting behind a car which was going to leave the parking place, because I wanted to park my car there. Because of uncoming traffic I had to wait for a short time - another driver placed his car on the place.",waiting car going leave parking place wanted park car there uncoming traffic wait short time  driver placed car place,
1397,anger,Everytime I think of you... I get a burning feeling inside . i think that might be . so I'm lettin it go along w. u,Everytime think you burning feeling inside  think  Im lettin w u,
17250,anger,"I was angry when my sister began to talk nonsense and to laugh at the way I swept the room.  My anger grew (I tried to control myself).  After telling her to leave me alone, I vented my anger on her as she did not obey me.",angry sister began talk nonsense laugh way swept room anger grew (I tried control myself) telling leave alone vented anger obey me,
21547,anger,"She thought she had given him a very tricky word , one that he would n't yet have learned , and she was peeved that he had succeeded . ",thought given tricky word  nt learned  peeved succeeded ,
14479,anger,Annoying as fuck how av seen @example 6 times and then munters who hadn't even heard of him till last year bought al the tickets!! ,Annoying fuck av seen   6 times munters heard till year bought al tickets,
18709,anger,@VictorRizzuto if i ever hear your sister hearing i will be so pissed. ,  hear sister hearing pissed,
11694,anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment.  #fear,worthy Gods forgiveness saved loving grace harbor resentment #fear,
2385,anger,When after a lot of provocation my child threw a plate on the floor.,lot provocation child threw plate floor,
15319,anger,@HANNAHxDANiELLE hulu will not allow me to watch the new episode of glee!!! ,  hulu allow watch new episode glee,
28221,anger,I believe it was F*CK OFF. RT @RadioSpecialK: @benjaminphoenix remember when u told our boss to go F*ck himself?  #issues,believe F*CK OFF RT     remember u told boss F*ck himself #issues,
14278,anger,Cant find my under armour to go for a run &lt;&lt;&lt;&lt; ,Cant find armour run ltltltlt,
10153,anger,I have kept a tally and for the last 12 mornings my mother has yelled at me for something within the first 5 minutes of being awake ,kept tally 12 mornings mother yelled 5 minutes awake,
4967,anger,During the short period of my unemployment about six years back.,short period unemployment years back,
26228,anger,Cool. Laptop charger is no longer charging. I'm about to kill a motherfucker. Hope I can finish all I need to finish tonight! ,Cool Laptop charger longer charging Im kill motherfucker Hope finish need finish tonight,
28516,anger, I'm sick of doing other people's job and getting blamed for not doing it right . ,Im sick peoples job getting blamed right ,
769,anger, How could you ? I reminded you just this morning . , reminded morning ,
3543,anger,7.50am I ask someone a question and they tell me they don't start work till 8am. ,750am ask question tell start work till 8am,
27775,anger,When I got the feeling that I had to do all the housekeeping while my boyfriend didn't do anything. This happened in a period of exams when I had to study very hard.,got feeling housekeeping boyfriend anything happened period exams study hard,
16813,anger,"In a low , resentful voice , Cullam said , ` I was sick . ",low  resentful voice  Cullam said   sick ,
18947,anger, Just look ! In six short weeks I've put on 30 pounds of pure muscle . ,look  short weeks Ive 30 pounds pure muscle ,
6299,anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots . ,annoyance missing fish turns relief realise snagged roots ,
22561,anger,'Do not hasten to resort to lest it prevail over you by becoming a #habit.??#ImamAli,Do hasten resort lest prevail #habit??#ImamAli,
488,anger,The sports fishermen who catch gulls instead of fish with their hooks.   It is often a mistake but it makes me angry.,sports fishermen catch gulls instead fish hooks mistake makes angry,
12954,anger,Someone told me earlier brody jenner is too good for the Kardashians...,told earlier brody jenner good Kardashians,
31706,anger,I Swear If This Girl Take It Upon Herself To Get Infront Of Me When Im Waiting For My Food Im Gonna PUNCH Her F'n Head Off Issues,Swear Girl Infront Im Waiting Food Im Gonna PUNCH Fn Head Issues,
34558,anger,"The king was furious at being tricked again , and by nothing more than a pair of animals , at that . ",king furious tricked  pair animals  ,
3987,anger,"He 'll be cross , but I 'll go . ",ll cross  ll ,
20918,anger,and #frustration will not get you anywhere. Take a breather. Quit rubbing off your #negativity on everyone.,#frustration anywhere breather Quit rubbing #negativity everyone,
12900,anger,Fuck this bs wait. Now I'm pissed off. ,Fuck bs wait Im pissed off,
22627,anger,"It was after noon by the time we actually got sorted , much to the annoyance of the lady from the Public Relations company who had hired us . ",noon time actually got sorted  annoyance lady Public Relations company hired ,
26912,anger,"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",East Germany men  regarded untouchable pillars old regime   rightly wrongly  focus overzealous bizarre persecution legal authorities indignant public ,
21249,anger,As much as i love @Fearnecotton and @hollywills i HATE the new very advert. ,love     HATE new advert,
19900,anger,"I had made an error in planning a programme and had publicly accepted the mistake, despite repeated requests not to bring the matter for discussion a professor kept constantly passing remarks. I reacted angrily.  ",error planning programme publicly accepted mistake despite repeated requests bring matter discussion professor kept constantly passing remarks reacted angrily,
29948,anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",colleague asked help work despite fact time had,
9039,anger, I've already suffered enough without listening anymore to you ! ,Ive suffered listening anymore ,
25908,anger,"How often do parents say in exasperation , ` Oh , you 'll be the death of me "" ? ",parents exasperation   Oh  ll death  ,
3852,anger,gonna have to go to bed angry now. angry steve ,gonna bed angry now angry steve,
6892,anger," No , you used to be . But not now . You are in love with someone else . You are in love with my friend , Janet . You appreciate her very much . You think she is beautiful and fun to be with and you think I ??m dumb and uninteresting . ",   love  love friend  Janet  appreciate  think beautiful fun think ??dumb uninteresting ,
836,anger,Why does twitter not include my whole phrase in the hashtag sometimes!? ,twitter include phrase hashtag sometimes,
25810,anger,A vexed expression crossed Louise 's pretty face . ,vexed expression crossed Louise s pretty face ,
22117,anger,"I had a discussion with my mother concerning my sister's divorce, we disagreed strongly.",discussion mother concerning sisters divorce disagreed strongly,
2368,anger,my heart is racing and I'm shaking ,heart racing Im shaking,
16924,anger,My husband and I were invited at the house of our neighbors then we got an invitation on the part of my parents which we had to refuse. A a result they called me by words that provoked my anger.,husband invited house neighbors got invitation parents refuse result called words provoked anger,
25486,anger,I was very hungry and just wanted to start eating when a friend called me who usually talks for a long time. I was angry because I was prevented from eating.,hungry wanted start eating friend called usually talks long time angry prevented eating,
22369,anger," They were supposed to , but so far nobody ??s turned up , and I ??m left on my own to do the work . This is the first break I ??Ve had all day . ",supposed  far ??turned  ??left work  break ??day ,
18040,anger,Press ups are a good anti tool...calm,Press ups good anti toolcalm,
6386,anger,He must be pretty mad at her for not being at home when they arrived . ,pretty mad home arrived ,
33067,anger,"Your eyesight 's not good enough , "" Miss Dersingham said with exasperation . ",eyesight s good   Miss Dersingham said exasperation ,
1230,anger,any idea how to transform anger about someone's helplessness into something positive? ,idea transform anger someones helplessness positive,
28975,anger,Jess felt faintly indignant at the remark . ,Jess felt faintly indignant remark ,
12510,anger,Wish next doors kids would stop crying for one minute! ,Wish doors kids stop crying minute,
10365,anger,"I typed up a letter for this physician at work. She didn't care for my style, even though she was not using correct English. I told her it was her letter and we would do it her way.",typed letter physician work care style correct English told letter way,
6359,anger,WELL ive bought my brother's prezzie. anyhow it dont come and ive wasted my money it will be real ,ive bought brothers prezzie dont come ive wasted money real,
19804,anger,He gave a little grunt of exasperation . ,gave little grunt exasperation ,
29604,anger,"is such a extreme emotion. One that which, acts as your controller. #Control you anger, #DONT let it control #you",extreme emotion which acts controller #Control anger #DONT let control #you,
