Unnamed: 0,Emotion,Text,Clean_Text
0,neutral, Why ? ,
1,joy,Sage Act upgrade on my to do list for tommorow.,Sage Act upgrade list tommorow
2,sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM ,WAY HOMEGIRL BABY FUNERAL MAN HATE FUNERALS SHOWS BLESSED
3,joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . ",eye  true hazel eyeand brilliant  Regular features  open countenance  complexion  Oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
4,joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang ",  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
6,sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. ",Couldnt wait live missing NH7 wasnt painful enuf Suraj s performing gig delhi
10,anger,"The bull tossed the effigy out of their hands and became very infuriated . "" ",bull tossed effigy hands infuriated  
11,sadness,People hide their behind a #fake smile.,People hide #fake smile
12,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
14,anger," With everything , with everybody , with all this ! ", everybody  
15,sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :(",Shakuhachi dress $580 1022 mm lens $708 #pain :(
17,joy,I have a feeling i will fail french #fuckfrench,feeling fail french #fuckfrench
18,joy, Good.Let ' s go now . ,GoodLet  
20,sadness," Oh , that's too bad . Should I call a doctor ? ",Oh  thats bad  doctor 
21,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile.""",fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
23,anger,I have to talk to you ! ,talk 
25,sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! ,welcome   glad night love you leave :( im gonna miss much
27,joy,One could get terribly ecstatic but that would be a dangerous thing to do . ,terribly ecstatic dangerous thing 
28,sadness,So much for losing something.. Going to fat burger for dinner with dad   ,losing something Going fat burger dinner dad
29,joy,When I was selected to study here at university.,selected study university
30,joy," Yeah , it ’ s been ages ! So how have you been ? ",Yeah  ’ ages  
35,joy,When I passed the B.A exams with first class results.,passed BA exams class results
